DETAILED ROUTE LOG: Dijkstra 2D Route 3
Generated on: 2026-04-22 09:43:36
--------------------------------------------------------------------------------------------------------------
Time                 | Latitude   | Longitude  | TWS [kt] | TWD [°]  | Heading [°] | TWA [°]  | BS [kt] 
--------------------------------------------------------------------------------------------------------------
2026-04-21 22:00     | 53.250000  | 2.500000   | 14.81    | 53.0     | 0.0         | 53.0     | 6.67    
2026-04-22 00:36     | 53.500000  | 2.500000   | 12.90    | 62.2     | 0.0         | 62.2     | 6.74    
2026-04-22 03:13     | 53.750000  | 2.500000   | 10.40    | 54.5     | 0.0         | 54.5     | 6.17    
2026-04-22 05:50     | 54.000000  | 2.500000   | 11.81    | 50.2     | 0.0         | 50.2     | 6.28    
2026-04-22 08:27     | 54.250000  | 2.500000   | 12.93    | 50.7     | 0.0         | 50.7     | 6.44    
2026-04-22 11:04     | 54.500000  | 2.500000   | 11.41    | 49.3     | 0.0         | 49.3     | 6.17    
2026-04-22 13:41     | 54.750000  | 2.500000   | 9.91     | 32.1     | 0.0         | 32.1     | 4.57    
2026-04-22 16:18     | 55.000000  | 2.500000   | 8.97     | 21.7     | 0.0         | 21.7     | 0.00    
2026-04-22 18:55     | 55.250000  | 2.500000   | 11.73    | 19.5     | 330.5       | 49.0     | 6.22    
2026-04-22 21:32     | 55.500000  | 2.250000   | 10.40    | 358.8    | 330.7       | 28.2     | 0.00    
2026-04-23 00:09     | 55.750000  | 2.000000   | 11.39    | 1.7      | 330.8       | 30.9     | 0.00    
2026-04-23 02:46     | 56.000000  | 1.750000   | 9.73     | 353.9    | 331.0       | 23.0     | 0.00    
2026-04-23 05:23     | 56.250000  | 1.500000   | 10.09    | 339.8    | 331.1       | 8.7      | 0.00    
2026-04-23 07:59     | 56.500000  | 1.250000   | 9.47     | 347.2    | 331.3       | 16.0     | 0.00    
2026-04-23 10:36     | 56.750000  | 1.000000   | 8.80     | 349.5    | 331.4       | 18.0     | 0.00    
2026-04-23 13:13     | 57.000000  | 0.750000   | 7.80     | 348.8    | 331.6       | 17.2     | 0.00    
2026-04-23 15:50     | 57.250000  | 0.500000   | 6.78     | 346.7    | 331.8       | 14.9     | 0.00    
2026-04-23 18:27     | 57.500000  | 0.250000   | 5.96     | 10.3     | 331.9       | 38.4     | 3.42    
2026-04-23 21:04     | 57.750000  | 0.000000   | 4.11     | 14.7     | 332.1       | 42.6     | 2.77    
2026-04-23 23:41     | 58.000000  | -0.250000  | 2.43     | 351.2    | 332.3       | 18.9     | 0.00    
2026-04-24 02:18     | 58.250000  | -0.500000  | 2.07     | 0.6      | 332.4       | 28.1     | 0.00    
2026-04-24 04:55     | 58.500000  | -0.750000  | 1.83     | 1.6      | 332.6       | 29.0     | 0.00    
2026-04-24 07:32     | 58.750000  | -1.000000  | 1.75     | 287.3    | 332.8       | 45.5     | 1.69    
2026-04-24 10:09     | 59.000000  | -1.250000  | 0.50     | 317.5    | 332.9       | 15.4     | 0.00    
2026-04-24 12:46     | 59.250000  | -1.500000  | 1.67     | 234.4    | 333.1       | 98.7     | 3.22    
2026-04-24 15:23     | 59.500000  | -1.750000  | 4.83     | 307.9    | 333.3       | 25.4     | 0.00    
2026-04-24 17:59     | 59.750000  | -2.000000  | 10.05    | 313.9    | 333.5       | 19.6     | 0.00    
2026-04-24 20:36     | 60.000000  | -2.250000  | 14.28    | 321.2    | 333.6       | 12.4     | 0.00    
2026-04-24 23:13     | 60.250000  | -2.500000  | 19.94    | 331.0    | 333.8       | 2.8      | 0.00    
2026-04-25 01:50     | 60.500000  | -2.750000  | 19.10    | 354.4    | 334.0       | 20.4     | 0.00    
2026-04-25 04:27     | 60.750000  | -3.000000  | 18.87    | 358.2    | 334.2       | 24.1     | 0.00    
2026-04-25 07:04     | 61.000000  | -3.250000  | 19.24    | 21.1     | 334.3       | 46.8     | 6.58    
2026-04-25 09:41     | 61.250000  | -3.500000  | 17.68    | 26.8     | 334.5       | 52.3     | 6.79    
2026-04-25 12:18     | 61.500000  | -3.750000  | 13.43    | 34.0     | 334.7       | 59.3     | 6.73    
2026-04-25 14:55     | 61.750000  | -4.000000  | 8.64     | 44.4     | 334.7       | 69.7     | 6.15    
