DETAILED ROUTE LOG: Dijkstra 2D Route 1
Generated on: 2026-04-22 09:43:30
--------------------------------------------------------------------------------------------------------------
Time                 | Latitude   | Longitude  | TWS [kt] | TWD [°]  | Heading [°] | TWA [°]  | BS [kt] 
--------------------------------------------------------------------------------------------------------------
2026-04-21 12:00     | 53.250000  | 2.500000   | 15.60    | 63.7     | 329.3       | 94.4     | 7.73    
2026-04-21 14:32     | 53.500000  | 2.250000   | 14.70    | 51.5     | 329.4       | 82.1     | 7.40    
2026-04-21 17:05     | 53.750000  | 2.000000   | 14.27    | 41.7     | 329.6       | 72.1     | 7.17    
2026-04-21 19:38     | 54.000000  | 1.750000   | 14.50    | 51.5     | 329.7       | 81.8     | 7.37    
2026-04-21 22:11     | 54.250000  | 1.500000   | 15.72    | 50.5     | 329.9       | 80.6     | 7.48    
2026-04-22 00:44     | 54.500000  | 1.250000   | 14.87    | 59.4     | 330.0       | 89.4     | 7.52    
2026-04-22 03:17     | 54.750000  | 1.000000   | 14.81    | 51.4     | 330.2       | 81.2     | 7.40    
2026-04-22 05:50     | 55.000000  | 0.750000   | 14.50    | 50.9     | 330.3       | 80.6     | 7.36    
2026-04-22 08:23     | 55.250000  | 0.500000   | 13.84    | 49.9     | 330.5       | 79.4     | 7.26    
2026-04-22 10:56     | 55.500000  | 0.250000   | 11.05    | 48.1     | 330.7       | 77.5     | 6.77    
2026-04-22 13:29     | 55.750000  | 0.000000   | 9.94     | 45.9     | 330.8       | 75.1     | 6.54    
2026-04-22 16:02     | 56.000000  | -0.250000  | 8.02     | 39.0     | 331.0       | 68.0     | 5.97    
2026-04-22 18:35     | 56.250000  | -0.500000  | 7.38     | 52.5     | 331.1       | 81.3     | 5.84    
2026-04-22 21:08     | 56.500000  | -0.750000  | 4.46     | 75.2     | 331.3       | 103.9    | 4.56    
2026-04-22 23:41     | 56.750000  | -1.000000  | 3.49     | 39.5     | 331.4       | 68.1     | 3.89    
2026-04-23 02:14     | 57.000000  | -1.250000  | 1.79     | 300.3    | 331.6       | 31.3     | 0.00    
2026-04-23 04:47     | 57.250000  | -1.500000  | 1.79     | 156.6    | 331.8       | 175.2    | 1.04    
2026-04-23 07:20     | 57.500000  | -1.750000  | 1.26     | 225.5    | 331.9       | 106.4    | 2.81    
2026-04-23 09:53     | 57.750000  | -2.000000  | 5.70     | 137.3    | 332.1       | 165.2    | 3.19    
2026-04-23 12:26     | 58.000000  | -2.250000  | 9.06     | 116.5    | 332.3       | 144.2    | 5.49    
2026-04-23 14:59     | 58.250000  | -2.500000  | 9.46     | 111.5    | 332.4       | 139.0    | 5.94    
2026-04-23 17:32     | 58.500000  | -2.750000  | 9.64     | 116.9    | 332.6       | 144.3    | 5.74    
2026-04-23 20:05     | 58.750000  | -3.000000  | 7.84     | 121.8    | 332.8       | 149.0    | 4.66    
2026-04-23 22:38     | 59.000000  | -3.250000  | 4.13     | 114.4    | 332.9       | 141.4    | 2.92    
2026-04-24 01:11     | 59.250000  | -3.500000  | 7.82     | 120.1    | 0.0         | 120.1    | 6.09    
2026-04-24 03:44     | 59.500000  | -3.500000  | 7.58     | 115.9    | 0.0         | 115.9    | 6.04    
2026-04-24 06:17     | 59.750000  | -3.500000  | 4.82     | 127.6    | 0.0         | 127.6    | 3.94    
2026-04-24 08:50     | 60.000000  | -3.500000  | 2.20     | 187.3    | 0.0         | 172.7    | 1.27    
2026-04-24 11:23     | 60.250000  | -3.500000  | 4.09     | 252.7    | 333.8       | 81.1     | 4.34    
2026-04-24 13:56     | 60.500000  | -3.750000  | 8.24     | 288.9    | 334.0       | 45.1     | 5.18    
2026-04-24 16:29     | 60.750000  | -4.000000  | 9.94     | 290.9    | 334.2       | 43.2     | 5.57    
2026-04-24 19:02     | 61.000000  | -4.250000  | 14.13    | 311.9    | 334.3       | 22.5     | 0.00    
2026-04-24 21:35     | 61.250000  | -4.500000  | 15.23    | 348.0    | 334.5       | 13.5     | 0.00    
2026-04-25 00:08     | 61.500000  | -4.750000  | 18.91    | 351.3    | 25.3        | 34.0     | 5.60    
2026-04-25 02:41     | 61.750000  | -4.500000  | 16.93    | 15.9     | 25.1        | 9.2      | 0.00    
2026-04-25 05:14     | 62.000000  | -4.250000  | 17.44    | 21.6     | 24.9        | 3.4      | 0.00    
2026-04-25 07:47     | 62.250000  | -4.000000  | 16.30    | 24.5     | 24.8        | 0.3      | 0.00    
2026-04-25 10:20     | 62.500000  | -3.750000  | 16.85    | 21.9     | 24.6        | 2.6      | 0.00    
2026-04-25 12:53     | 62.750000  | -3.500000  | 14.03    | 23.8     | 24.4        | 0.6      | 0.00    
2026-04-25 15:26     | 63.000000  | -3.250000  | 9.49     | 21.8     | 24.2        | 2.4      | 0.00    
2026-04-25 17:59     | 63.250000  | -3.000000  | 6.44     | 11.6     | 24.0        | 12.4     | 0.00    
2026-04-25 20:32     | 63.500000  | -2.750000  | 4.41     | 20.9     | 23.8        | 3.0      | 0.00    
2026-04-25 23:05     | 63.750000  | -2.500000  | 0.89     | 37.8     | 23.7        | 14.1     | 0.00    
2026-04-26 01:38     | 64.000000  | -2.250000  | 2.92     | 207.5    | 23.5        | 176.0    | 1.61    
2026-04-26 04:11     | 64.250000  | -2.000000  | 2.80     | 215.3    | 23.3        | 168.0    | 1.64    
2026-04-26 06:44     | 64.500000  | -1.750000  | 5.11     | 219.9    | 23.1        | 163.2    | 2.91    
2026-04-26 09:17     | 64.750000  | -1.500000  | 7.63     | 206.3    | 22.9        | 176.6    | 3.98    
2026-04-26 11:50     | 65.000000  | -1.250000  | 10.20    | 202.1    | 22.7        | 179.4    | 5.09    
2026-04-26 14:23     | 65.250000  | -1.000000  | 12.65    | 203.4    | 22.5        | 179.1    | 6.01    
2026-04-26 16:56     | 65.500000  | -0.750000  | 13.36    | 197.0    | 0.0         | 163.0    | 6.55    
2026-04-26 19:29     | 65.750000  | -0.750000  | 13.85    | 201.0    | 0.0         | 159.0    | 6.78    
2026-04-26 22:02     | 66.000000  | -0.750000  | 15.93    | 187.1    | 0.0         | 172.9    | 7.00    
2026-04-27 00:35     | 66.250000  | -0.750000  | 17.87    | 183.2    | 0.0         | 176.8    | 7.28    
2026-04-27 03:08     | 66.500000  | -0.750000  | 18.09    | 195.1    | 21.5        | 173.6    | 7.37    
2026-04-27 05:41     | 66.750000  | -0.500000  | 18.73    | 196.3    | 21.3        | 174.9    | 7.46    
2026-04-27 08:14     | 67.000000  | -0.250000  | 19.20    | 192.8    | 0.0         | 167.2    | 7.67    
2026-04-27 10:47     | 67.250000  | -0.250000  | 18.15    | 193.3    | 20.9        | 172.4    | 7.40    
2026-04-27 13:20     | 67.500000  | 0.000000   | 18.34    | 194.9    | 0.0         | 165.1    | 7.56    
2026-04-27 15:53     | 67.750000  | 0.000000   | 15.79    | 179.5    | 0.0         | 179.5    | 6.86    
2026-04-27 18:26     | 68.000000  | 0.000000   | 15.94    | 179.4    | 0.0         | 179.4    | 6.90    
2026-04-27 20:59     | 68.250000  | 0.000000   | 16.19    | 183.7    | 0.0         | 176.3    | 6.99    
2026-04-27 23:32     | 68.500000  | 0.000000   | 17.94    | 167.8    | 0.0         | 167.8    | 7.44    
2026-04-28 02:05     | 68.750000  | 0.000000   | 16.79    | 167.7    | 0.0         | 167.7    | 7.24    
2026-04-28 04:38     | 69.000000  | 0.000000   | 18.29    | 148.3    | 0.0         | 148.3    | 7.85    
2026-04-28 07:11     | 69.250000  | 0.000000   | 17.57    | 150.7    | 0.0         | 150.7    | 7.66    
2026-04-28 09:44     | 69.500000  | 0.000000   | 16.91    | 139.1    | 0.0         | 139.1    | 7.85    
2026-04-28 12:17     | 69.750000  | 0.000000   | 16.75    | 142.3    | 0.0         | 142.3    | 7.74    
